,frame,pos_x,pos_y,id
0,1.0,374,404,A
1,1.0,946,180,Burrow 1
2,1.0,294,356,Burrow 2
3,2.0,375,404,A
4,2.0,946,180,Burrow 1
5,2.0,294,356,Burrow 2
6,3.0,375,403,A
7,3.0,946,180,Burrow 1
8,3.0,294,356,Burrow 2
9,4.0,375,404,A
10,4.0,946,180,Burrow 1
11,4.0,294,356,Burrow 2
12,5.0,375,403,A
13,5.0,946,180,Burrow 1
14,5.0,294,356,Burrow 2
15,6.0,375,404,A
16,6.0,946,180,Burrow 1
17,6.0,294,356,Burrow 2
18,7.0,375,404,A
19,7.0,946,180,Burrow 1
20,7.0,294,356,Burrow 2
21,8.0,375,404,A
22,8.0,946,180,Burrow 1
23,8.0,294,356,Burrow 2
24,9.0,375,403,A
25,9.0,946,180,Burrow 1
26,9.0,294,356,Burrow 2
27,10.0,375,404,A
28,10.0,946,180,Burrow 1
29,10.0,294,356,Burrow 2
30,11.0,374,404,A
31,11.0,946,180,Burrow 1
32,11.0,294,356,Burrow 2
33,12.0,375,404,A
34,12.0,946,180,Burrow 1
35,12.0,294,356,Burrow 2
36,13.0,375,404,A
37,13.0,946,180,Burrow 1
38,13.0,294,356,Burrow 2
39,14.0,375,404,A
40,14.0,946,180,Burrow 1
41,14.0,294,356,Burrow 2
42,15.0,374,404,A
43,15.0,946,180,Burrow 1
44,15.0,294,356,Burrow 2
45,16.0,374,404,A
46,16.0,946,180,Burrow 1
47,16.0,294,356,Burrow 2
48,17.0,374,404,A
49,17.0,946,180,Burrow 1
50,17.0,294,356,Burrow 2
51,18.0,374,404,A
52,18.0,946,180,Burrow 1
53,18.0,294,356,Burrow 2
54,19.0,374,405,A
55,19.0,946,180,Burrow 1
56,19.0,294,356,Burrow 2
57,20.0,374,405,A
58,20.0,946,180,Burrow 1
59,20.0,294,356,Burrow 2
60,21.0,374,404,A
61,21.0,946,180,Burrow 1
62,21.0,294,356,Burrow 2
63,22.0,374,405,A
64,22.0,946,180,Burrow 1
65,22.0,294,356,Burrow 2
66,23.0,374,405,A
67,23.0,946,180,Burrow 1
68,23.0,294,356,Burrow 2
69,24.0,374,405,A
70,24.0,946,180,Burrow 1
71,24.0,294,356,Burrow 2
72,25.0,374,405,A
73,25.0,946,180,Burrow 1
74,25.0,294,356,Burrow 2
75,26.0,374,405,A
76,26.0,946,180,Burrow 1
77,26.0,294,356,Burrow 2
78,27.0,374,405,A
79,27.0,946,180,Burrow 1
80,27.0,294,356,Burrow 2
81,28.0,374,405,A
82,28.0,946,180,Burrow 1
83,28.0,294,356,Burrow 2
84,29.0,375,403,A
85,29.0,946,180,Burrow 1
86,29.0,294,356,Burrow 2
87,30.0,375,403,A
88,30.0,946,180,Burrow 1
89,30.0,294,356,Burrow 2
90,31.0,375,404,A
91,31.0,946,180,Burrow 1
92,31.0,294,356,Burrow 2
93,32.0,375,404,A
94,32.0,946,180,Burrow 1
95,32.0,294,356,Burrow 2
96,33.0,375,404,A
97,33.0,946,180,Burrow 1
98,33.0,294,356,Burrow 2
99,34.0,374,404,A
100,34.0,946,180,Burrow 1
101,34.0,294,356,Burrow 2
102,35.0,374,405,A
103,35.0,946,180,Burrow 1
104,35.0,294,356,Burrow 2
105,36.0,374,404,A
106,36.0,946,180,Burrow 1
107,36.0,294,356,Burrow 2
108,37.0,375,404,A
109,37.0,946,180,Burrow 1
110,37.0,294,356,Burrow 2
111,38.0,376,403,A
112,38.0,946,180,Burrow 1
113,38.0,294,356,Burrow 2
114,39.0,375,403,A
115,39.0,946,180,Burrow 1
116,39.0,294,356,Burrow 2
117,40.0,375,403,A
118,40.0,946,180,Burrow 1
119,40.0,294,356,Burrow 2
120,41.0,376,403,A
121,41.0,946,180,Burrow 1
122,41.0,294,356,Burrow 2
123,42.0,376,403,A
124,42.0,946,180,Burrow 1
125,42.0,294,356,Burrow 2
126,43.0,375,403,A
127,43.0,946,180,Burrow 1
128,43.0,294,356,Burrow 2
129,44.0,375,403,A
130,44.0,946,180,Burrow 1
131,44.0,294,356,Burrow 2
132,45.0,375,403,A
133,45.0,946,180,Burrow 1
134,45.0,294,356,Burrow 2
135,46.0,375,403,A
136,46.0,946,180,Burrow 1
137,46.0,294,356,Burrow 2
138,47.0,375,403,A
139,47.0,946,180,Burrow 1
140,47.0,294,356,Burrow 2
141,48.0,375,403,A
142,48.0,946,180,Burrow 1
143,48.0,294,356,Burrow 2
144,49.0,376,403,A
145,49.0,946,180,Burrow 1
146,49.0,294,356,Burrow 2
147,50.0,376,403,A
148,50.0,946,180,Burrow 1
149,50.0,294,356,Burrow 2
150,51.0,375,403,A
151,51.0,946,180,Burrow 1
152,51.0,294,356,Burrow 2
153,52.0,375,403,A
154,52.0,946,180,Burrow 1
155,52.0,294,356,Burrow 2
156,53.0,375,403,A
157,53.0,946,180,Burrow 1
158,53.0,294,356,Burrow 2
159,54.0,375,403,A
160,54.0,946,180,Burrow 1
161,54.0,294,356,Burrow 2
162,55.0,376,403,A
163,55.0,946,180,Burrow 1
164,55.0,294,356,Burrow 2
165,56.0,375,403,A
166,56.0,946,180,Burrow 1
167,56.0,294,356,Burrow 2
168,57.0,375,403,A
169,57.0,946,180,Burrow 1
170,57.0,294,356,Burrow 2
171,58.0,375,403,A
172,58.0,946,180,Burrow 1
173,58.0,294,356,Burrow 2
174,59.0,375,403,A
175,59.0,946,180,Burrow 1
176,59.0,294,356,Burrow 2
177,60.0,376,403,A
178,60.0,946,180,Burrow 1
179,60.0,294,356,Burrow 2
180,61.0,375,403,A
181,61.0,946,180,Burrow 1
182,61.0,294,356,Burrow 2
183,62.0,375,403,A
184,62.0,946,180,Burrow 1
185,62.0,294,356,Burrow 2
186,63.0,376,403,A
187,63.0,946,180,Burrow 1
188,63.0,294,356,Burrow 2
189,64.0,376,403,A
190,64.0,946,180,Burrow 1
191,64.0,294,356,Burrow 2
192,65.0,376,403,A
193,65.0,946,180,Burrow 1
194,65.0,294,356,Burrow 2
195,66.0,376,403,A
196,66.0,946,180,Burrow 1
197,66.0,294,356,Burrow 2
